id,price
0,89
1,32
2,35
3,42
4,17
5,28
6,20
7,15
8,23
9,70
10,28
11,31
12,13
13,23
14,38
15,32
16,46
17,27
18,18
19,30
20,16
21,20
22,33
23,16
24,42
25,16
26,29
27,47
28,23
29,40
30,41
31,79
32,9
33,74
34,9
35,87
36,15
37,39
38,8
39,28
40,30
41,57
42,39
43,51
44,18
45,20
46,46
47,27
48,17
49,39
50,6
51,16
52,26
53,1
54,31
55,27
56,114
57,20
58,30
59,5
60,71
61,31
62,14
63,95
64,28
65,41
66,27
67,54
68,15
69,67
70,18
71,6
72,18
73,7
74,19
75,58
76,40
77,8
78,44
79,38
80,30
81,6
82,5
83,28
84,28
85,16
86,45
87,26
88,21
89,17
90,14
91,58
92,32
93,35
94,39
95,59
96,15
97,39
98,23
99,31
100,27
101,35
102,33
103,32
104,29
105,19
106,52
107,65
108,25
109,29
110,16
111,9
112,28
113,41
114,5
115,52
116,13
117,27
118,16
119,25
120,29
121,50
122,25
123,62
124,57
125,25
126,20
127,25
128,26
129,27
130,21
131,12
132,31
133,13
134,24
135,25
136,14
137,36
138,10
139,49
140,101
141,16
142,36
143,21
144,50
145,22
146,16
147,12
148,5
149,17
150,23
151,79
152,4
153,10
154,22
155,32
156,36
157,45
158,1
159,30
160,27
161,14
162,38
163,41
164,20
165,95
166,24
167,38
168,34
169,7
170,29
171,45
172,54
173,77
174,23
175,1
176,28
177,39
178,15
179,72
180,6
181,14
182,47
183,20
184,42
185,29
186,38
187,46
188,13
189,6
190,41
191,26
192,52
193,39
194,41
195,42
196,55
197,35
198,22
199,34
200,71
201,22
202,18
203,13
204,34
205,13
206,56
207,9
208,20
209,27
210,63
211,24
212,24
213,23
214,24
215,48
216,11
217,22
218,9
219,27
220,82
221,20
222,26
223,14
224,52
225,17
226,27
227,17
228,11
229,27
230,13
231,90
232,12
233,30
234,39
235,21
236,38
237,27
238,13
239,35
240,43
241,8
242,90
243,23
244,13
245,1
246,15
247,30
248,213
249,44
250,26
251,22
252,41
253,43
254,27
255,21
256,11
257,43
258,32
259,36
260,27
261,23
262,20
263,4
264,50
265,17
266,89
267,10
268,79
269,14
270,32
271,95
272,28
273,2
274,12
275,36
276,20
277,42
278,12
279,23
280,33
281,49
282,47
283,18
284,53
285,26
286,29
287,46
288,30
289,31
290,17
291,46
292,13
293,42
294,40
295,37
296,34
297,46
298,18
299,10
300,47
301,49
302,97
303,24
304,28
305,6
306,74
307,20
308,23
309,18
310,81
311,38
312,19
313,69
314,50
315,53
316,26
317,42
318,31
319,46
320,13
321,29
322,50
323,8
324,15
325,8
326,49
327,83
328,58
329,35
330,28
331,26
332,56
333,31
334,43
335,52
336,139
337,18
338,25
339,12
340,33
341,42
342,63
343,1
344,9
345,11
346,47
347,52
348,33
349,71
350,23
351,36
352,95
353,8
354,20
355,19
356,22
357,34
358,25
359,34
360,36
361,8
362,51
363,25
364,12
365,35
366,1
367,1
368,35
369,31
370,8
371,21
372,41
373,49
374,17
375,13
376,51
377,21
378,1
379,27
380,23
381,36
382,57
383,36
384,41
385,18
386,20
387,51
388,42
389,53
390,67
391,27
392,9
393,33
394,75
395,63
396,20
397,17
398,22
399,13
400,59
401,12
402,11
403,35
404,74
405,27
406,33
407,19
408,56
409,122
410,40
411,5
412,25
413,36
414,9
415,57
416,21
417,5
418,25
419,43
420,16
421,16
422,35
423,53
424,83
425,37
426,78
427,8
428,32
429,32
430,17
431,19
432,46
433,13
434,1
435,64
436,31
437,15
438,55
439,28
440,8
441,76
442,27
443,38
444,29
445,25
446,41
447,39
448,21
449,30
450,16
451,16
452,51
453,54
454,22
455,27
456,20
457,16
458,55
459,78
460,12
461,24
462,70
463,26
464,30
465,39
466,62
467,33
468,51
469,76
470,23
471,46
472,25
473,93
474,48
475,23
476,23
477,33
478,12
479,62
480,19
481,19
482,15
483,33
484,16
485,32
486,2
487,42
488,41
489,52
490,27
491,23
492,39
493,16
494,27
495,1
496,46
497,51
498,36
499,62
500,46
501,1
502,17
503,102
504,63
505,32
506,45
507,34
508,27
509,4
510,62
511,1
512,46
513,33
514,16
515,40
516,58
517,25
518,23
519,26
520,27
521,26
522,8
523,15
524,8
525,94
526,41
527,12
528,1
529,11
530,33
531,17
532,28
533,4
534,12
535,81
536,18
537,29
538,20
539,46
540,30
541,28
542,17
543,16
544,30
545,36
546,45
547,36
548,16
549,26
550,51
551,55
552,30
553,31
554,63
555,23
556,12
557,77
558,31
559,14
560,25
561,2
562,87
563,34
564,32
565,12
566,2
567,24
568,17
569,44
570,37
571,32
572,17
573,25
574,29
575,33
576,36
577,15
578,59
579,20
580,1
581,20
582,46
583,11
584,17
585,24
586,51
587,12
588,50
589,14
590,10
591,11
592,25
593,43
594,25
595,71
596,43
597,19
598,12
599,28
600,86
601,10
602,31
603,24
604,40
605,1
606,13
607,28
608,57
609,22
610,30
611,47
612,20
613,43
614,57
615,51
616,24
617,30
618,14
619,42
620,57
621,28
622,8
623,10
624,31
625,63
626,29
627,41
628,18
629,37
630,51
631,26
632,41
633,42
634,11
635,22
636,54
637,22
638,51
639,14
640,19
641,38
642,60
643,82
644,12
645,36
646,85
647,93
648,28
649,34
650,33
651,24
652,25
653,41
654,25
655,13
656,12
657,17
658,28
659,3
660,20
661,14
662,69
663,32
664,19
665,85
666,17
667,6
668,54
669,24
670,49
671,37
672,48
673,50
674,18
675,40
676,38
677,32
678,7
679,26
680,9
681,6
682,26
683,68
684,10
685,28
686,42
687,37
688,25
689,56
690,95
691,29
692,20
693,70
694,15
695,13
696,26
697,64
698,10
699,29
700,64
701,47
702,59
703,19
704,28
705,37
706,41
707,93
708,33
709,43
710,19
711,11
712,36
713,28
714,26
715,35
716,21
717,2
718,26
719,42
720,1
721,3
722,25
723,5
724,33
725,22
726,8
727,26
728,26
729,46
730,29
731,56
732,56
733,44
734,21
735,30
736,58
737,34
738,41
739,34
740,42
741,42
742,12
743,19
744,30
745,10
746,26
747,30
748,53
749,48
750,37
751,50
752,1
753,20
754,35
755,29
756,23
757,73
758,65
759,22
760,44
761,23
762,13
763,37
764,37
765,46
766,27
767,28
768,48
769,34
770,32
771,13
772,62
773,61
774,23
775,11
776,53
777,37
778,76
779,24
780,28
781,39
782,18
783,13
784,47
785,31
786,28
787,38
788,5
789,57
790,13
791,49
792,53
793,17
794,43
795,21
796,28
797,4
798,9
799,21
800,23
801,21
802,74
803,1
804,17
805,54
806,55
807,42
808,47
809,41
810,38
811,29
812,46
813,18
814,55
815,17
816,28
817,16
818,26
819,45
820,44
821,67
822,58
823,36
824,28
825,61
826,40
827,58
828,24
829,27
830,38
831,16
832,10
833,33
834,79
835,8
836,43
837,20
838,79
839,32
840,63
841,56
842,18
843,27
844,27
845,15
846,34
847,10
848,25
849,27
850,48
851,24
852,24
853,46
854,16
855,77
856,57
857,28
858,54
859,46
860,65
861,18
862,4
863,16
864,16
865,0
866,13
867,15
868,85
869,30
870,12
871,4
872,23
873,22
874,22
875,13
876,188
877,7
878,18
879,52
880,17
881,3
882,36
883,29
884,28
885,21
886,83
887,38
888,18
889,39
890,17
891,16
892,4
893,27
894,16
895,28
896,31
897,56
898,9
899,28
900,20
901,34
902,13
903,33
904,47
905,32
906,23
907,87
908,26
909,31
910,61
911,22
912,23
913,38
914,14
915,9
916,23
917,1
918,47
919,8
920,34
921,14
922,63
923,22
924,30
925,14
926,22
927,14
928,20
929,15
930,59
931,80
932,19
933,15
934,49
935,49
936,21
937,62
938,79
939,18
940,21
941,26
942,52
943,48
944,28
945,20
946,27
947,94
948,59
949,15
950,39
951,16
952,1
953,33
954,30
955,21
956,38
957,17
958,31
959,17
960,39
961,1
962,27
963,29
964,1
965,11
966,34
967,23
968,31
969,31
970,71
971,12
972,42
973,23
974,5
975,24
976,6
977,15
978,43
979,42
980,70
981,13
982,15
983,64
984,33
985,19
986,19
987,20
988,60
989,5
990,7
991,6
992,21
993,4
994,16
995,42
996,49
997,19
998,6
999,31
1000,51
1001,13
1002,46
1003,19
1004,35
1005,60
1006,35
1007,12
1008,21
1009,21
1010,27
1011,37
1012,13
1013,19
1014,47
1015,18
1016,18
1017,24
1018,36
1019,15
1020,102
1021,9
1022,51
1023,35
1024,41
1025,41
1026,22
1027,28
1028,29
1029,34
1030,15
1031,34
1032,17
1033,44
1034,13
1035,24
1036,29
1037,54
1038,26
1039,17
1040,20
1041,44
1042,15
1043,42
1044,18
1045,21
1046,23
1047,81
1048,30
1049,13
1050,38
1051,92
1052,57
1053,35
1054,28
1055,36
1056,25
1057,24
1058,25
1059,24
1060,91
1061,32
1062,14
1063,81
1064,7
1065,86
1066,15
1067,11
1068,19
1069,73
1070,10
1071,37
1072,35
1073,50
1074,34
1075,20
1076,24
1077,23
1078,28
1079,79
1080,14
1081,91
1082,15
1083,1
1084,44
1085,29
1086,18
1087,45
1088,45
1089,23
1090,40
1091,64
1092,39
1093,24
1094,23
1095,120
1096,87
1097,3
1098,7
1099,20
1100,83
1101,23
1102,21
1103,63
1104,19
1105,15
1106,19
1107,27
1108,17
1109,24
1110,32
1111,1
1112,1
1113,59
1114,21
1115,45
1116,30
1117,5
1118,44
1119,29
1120,25
1121,18
1122,29
1123,75
1124,37
1125,31
1126,55
1127,49
1128,1
1129,72
1130,24
1131,19
1132,38
1133,0
1134,19
1135,19
1136,2
1137,21
1138,36
1139,44
1140,30
1141,46
1142,25
1143,28
1144,13
1145,35
1146,9
1147,35
1148,65
1149,14
1150,75
1151,35
1152,11
1153,21
1154,56
1155,24
1156,32
1157,30
1158,38
1159,34
1160,46
1161,82
1162,37
1163,20
1164,32
1165,24
1166,75
1167,75
1168,33
1169,2
1170,22
1171,19
1172,16
1173,13
1174,106
1175,30
1176,12
1177,14
1178,12
1179,16
1180,33
1181,32
1182,40
1183,42
1184,25
1185,15
1186,77
1187,69
1188,28
1189,64
1190,56
1191,9
1192,61
1193,53
1194,66
1195,22
1196,87
1197,242
1198,17
1199,15
1200,17
1201,13
1202,43
1203,16
1204,25
1205,5
1206,27
1207,13
1208,33
1209,48
1210,15
1211,85
1212,50
1213,40
1214,6
1215,67
1216,7
1217,20
1218,19
1219,31
1220,58
1221,31
1222,15
1223,37
1224,22
1225,13
1226,15
1227,13
1228,22
1229,40
1230,32
1231,9
1232,8
1233,18
1234,41
1235,26
1236,20
1237,47
1238,7
1239,37
1240,5
1241,71
1242,18
1243,34
1244,50
1245,41
1246,69
1247,40
1248,31
1249,26
1250,35
1251,44
1252,16
1253,43
1254,5
1255,18
1256,27
1257,42
1258,26
1259,76
1260,15
1261,15
1262,26
1263,18
1264,56
1265,42
1266,31
1267,53
1268,102
1269,31
1270,20
1271,38
1272,28
1273,84
1274,22
1275,22
1276,20
1277,33
1278,23
1279,23
1280,34
1281,23
1282,20
1283,50
1284,28
1285,82
1286,7
1287,63
1288,11
1289,58
1290,40
1291,49
1292,16
1293,24
1294,75
1295,16
1296,18
1297,17
1298,35
1299,1
1300,28
1301,34
1302,16
1303,32
1304,34
1305,14
1306,16
1307,31
1308,9
1309,32
1310,137
1311,10
1312,27
1313,12
1314,34
1315,41
1316,9
1317,4
1318,29
1319,35
1320,54
1321,29
1322,30
1323,48
1324,42
1325,32
1326,6
1327,25
1328,32
1329,48
1330,28
1331,21
1332,38
1333,126
1334,25
1335,17
1336,18
1337,54
1338,34
1339,17
1340,69
1341,20
1342,26
1343,19
1344,24
1345,48
1346,34
1347,10
1348,32
1349,29
1350,26
1351,24
1352,18
1353,32
1354,14
1355,21
1356,84
1357,5
1358,25
1359,6
1360,24
1361,30
1362,83
1363,38
1364,24
1365,1
1366,21
1367,60
1368,44
1369,17
1370,21
1371,31
1372,21
1373,10
1374,9
1375,11
1376,39
1377,40
1378,45
1379,16
1380,20
1381,33
1382,11
1383,56
1384,22
1385,39
1386,10
1387,1
1388,36
1389,9
1390,43
1391,77
1392,28
1393,55
1394,1
1395,25
1396,48
1397,42
1398,50
1399,43
1400,26
1401,14
1402,13
1403,10
1404,49
1405,62
1406,53
1407,50
1408,25
1409,91
1410,48
1411,22
1412,15
1413,62
1414,38
1415,31
1416,41
1417,18
1418,32
1419,38
1420,8
1421,38
1422,18
1423,33
1424,27
1425,31
1426,14
1427,54
1428,18
1429,60
1430,22
1431,45
1432,29
1433,65
1434,44
1435,52
1436,71
1437,96
1438,58
1439,30
1440,37
1441,66
1442,18
1443,27
1444,72
1445,18
1446,42
1447,64
1448,26
1449,1
1450,67
1451,11
1452,58
1453,27
1454,13
1455,21
1456,1
1457,26
1458,28
1459,80
1460,32
1461,11
1462,52
1463,16
1464,32
1465,24
1466,63
1467,20
1468,42
1469,61
1470,12
1471,37
1472,69
1473,6
1474,52
1475,46
